,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
483,epalinges,CH,46.5518,6.6683,65.26,81,84,0.96
484,altina,RO,45.9333,24.4667,73.45,57,1,5.26
485,haverhill,US,42.7762,-71.0773,86.63,50,20,1.01
486,pelhrimov,CZ,49.4313,15.2234,71.02,70,92,3.51
487,periyanayakkanpalaiyam,IN,11.15,76.9333,74.79,83,40,9.22
488,saltillo,MX,25.4167,-101.0,78.82,24,23,18.1
489,paringao,PH,16.5717,120.3242,80.35,88,100,10.0
490,volno-nadezhdinskoye,RU,43.3833,131.9917,69.28,100,40,2.24
491,agogo,GH,6.8,-1.0819,72.3,77,100,4.29
492,chekhov,RU,55.1431,37.4711,68.86,74,91,2.64
493,brecksville,US,41.3198,-81.6268,86.16,53,66,7.05
494,gattaran,PH,18.0557,121.641,76.62,89,100,4.29
495,bajos de haina,DO,18.4154,-70.0332,88.83,71,40,9.22
496,palagonia,IT,37.3283,14.7448,84.67,30,0,2.84
497,tanda,IN,26.55,82.65,81.57,88,83,4.05
498,karanpura,IN,29.1018,75.092,86.31,69,100,10.94
499,arnissa,GR,40.8,21.8333,70.99,46,5,4.0
500,tirukkoyilur,IN,11.95,79.2,84.07,55,100,11.83
501,szigetujfalu,HU,47.2342,18.9275,77.83,49,71,5.59
502,areni,AM,39.7191,45.1799,84.56,50,87,6.06
504,tutubigan,PH,11.8397,125.0614,78.4,80,95,6.26
505,abasolo,MX,20.45,-101.5167,80.02,34,94,6.49
508,lordelo,PT,41.2345,-8.403,65.66,73,0,3.62
509,neveklov,CZ,49.7537,14.5329,69.85,78,72,2.21
510,barkhera,IN,28.45,79.8,81.86,86,40,5.5
511,kashima,JP,33.1061,130.0906,76.59,84,12,2.33
512,bierbeek,BE,50.8288,4.7619,63.81,79,40,12.66
513,polican,AL,40.6122,20.0981,78.85,38,0,2.01
514,metes,RO,46.1,23.4167,78.58,51,17,2.82
515,mahayag,PH,8.1183,123.4455,76.53,96,99,3.56
516,adelanto,US,34.5828,-117.4092,91.2,25,1,5.91
517,bloomington,US,44.8408,-93.2983,91.35,54,1,10.36
518,moftinu mare,RO,47.6667,22.6667,77.05,73,75,2.3
520,el guantillo,HN,14.6,-87.3,82.83,42,90,5.68
521,machhiwara,IN,30.9147,76.1983,78.96,94,100,8.63
523,east angus,CA,45.4834,-71.6658,69.12,65,20,11.5
524,kolobrzeg,PL,54.1757,15.5834,72.97,100,72,1.59
525,grudziadz,PL,53.4841,18.7537,66.04,80,100,4.36
526,caselle torinese,IT,45.1778,7.6426,72.19,83,75,4.61
527,fairbanks,US,64.8378,-147.7164,61.45,72,75,1.01
528,ostwald,FR,48.5437,7.711,67.84,94,100,1.14
529,miravci,MK,41.3078,22.435,76.01,52,4,4.27
